name,slug,value,date_of_information,ranking,region
"South Africa","south-africa","63.0","2014 est.","1","Africa"
"Namibia","namibia","59.1","2015 est.","2","Africa"
"Zambia","zambia","57.1","2015 est.","3","Africa"
"Sao Tome and Principe","sao-tome-and-principe","56.3","2017 est.","4","Africa"
"Eswatini","eswatini","54.6","2016 est.","5","Africa"
"Mozambique","mozambique","54.0","2014 est.","6","Africa"
"Brazil","brazil","53.9","2018 est.","7","South America"
"Hong Kong","hong-kong","53.9","2016","8","East and Southeast Asia"
"Botswana","botswana","53.3","2015 est.","9","Africa"
"Honduras","honduras","52.1","2018 est.","10","Central America and the Caribbean"
"Angola","angola","51.3","2018 est.","11","Africa"
"Saint Lucia","saint-lucia","51.2","2016 est.","12","Central America and the Caribbean"
"Papua New Guinea","papua-new-guinea","50.9","1996","13","East and Southeast Asia"
"Guinea-Bissau","guinea-bissau","50.7","2010 est.","14","Africa"
"Colombia","colombia","50.4","2018 est.","15","South America"
"Panama","panama","49.2","2018 est.","16","Central America and the Caribbean"
"Congo, Republic of the","congo-republic-of-the","48.9","2011 est.","17","Africa"
"Guatemala","guatemala","48.3","2014 est.","18","Central America and the Caribbean"
"Costa Rica","costa-rica","48.0","2018 est.","19","Central America and the Caribbean"
"Benin","benin","47.8","2015 est.","20","Africa"
"Seychelles","seychelles","46.8","2013 est.","21","Africa"
"Cameroon","cameroon","46.5","2014 est.","22","Africa"
"Nicaragua","nicaragua","46.2","2014 est.","23","Central America and the Caribbean"
"Paraguay","paraguay","46.2","2018 est.","24","South America"
"South Sudan","south-sudan","46.0","2010 est.","25","Africa"
"Saudi Arabia","saudi-arabia","45.9","2013 est.","26","Middle East"
"Singapore","singapore","45.9","2017","27","East and Southeast Asia"
"Ecuador","ecuador","45.4","2018 est.","28","South America"
"Comoros","comoros","45.3","2014 est.","29","Africa"
"Lesotho","lesotho","44.9","2017 est.","30","Africa"
"Malawi","malawi","44.7","2016 est.","31","Africa"
"Guyana","guyana","44.6","2007","32","South America"
"Chile","chile","44.4","2017 est.","33","South America"
"Philippines","philippines","44.4","2015 est.","34","East and Southeast Asia"
"Zimbabwe","zimbabwe","44.3","2017 est.","35","Africa"
"Dominican Republic","dominican-republic","43.7","2018 est.","36","Central America and the Caribbean"
"Rwanda","rwanda","43.7","2016 est.","37","Africa"
"Central African Republic","central-african-republic","43.6","2003 est.","38","Africa"
"Ghana","ghana","43.5","2016 est.","39","Africa"
"Chad","chad","43.3","2011 est.","40","Africa"
"Togo","togo","43.1","2015 est.","41","Africa"
"Peru","peru","42.8","2018 est.","42","South America"
"Uganda","uganda","42.8","2016 est.","43","Africa"
"Madagascar","madagascar","42.6","2012 est.","44","Africa"
"Cabo Verde","cabo-verde","42.4","2015 est.","45","Africa"
"Bolivia","bolivia","42.2","2018 est.","46","South America"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","42.1","2012 est.","47","Africa"
"Turkey (Turkiye)","turkey-turkiye","41.9","2018 est.","48","Middle East"
"Djibouti","djibouti","41.6","2017 est.","49","Africa"
"Cote d'Ivoire","cote-divoire","41.5","2015 est.","50","Africa"
"Argentina","argentina","41.4","2018 est.","51","South America"
"Haiti","haiti","41.1","2012 est.","52","Central America and the Caribbean"
"Qatar","qatar","41.1","2007","53","Middle East"
"United States","united-states","41.1","2016 est.","54","North America"
"Malaysia","malaysia","41.0","2015 est.","55","East and Southeast Asia"
"Iran","iran","40.8","2017 est.","56","Middle East"
"Kenya","kenya","40.8","2015 est.","57","Africa"
"Turkmenistan","turkmenistan","40.8","1998","58","Central Asia"
"Tanzania","tanzania","40.5","2017 est.","59","Africa"
"Bulgaria","bulgaria","40.4","2017 est.","60","Europe"
"Senegal","senegal","40.3","2011 est.","61","Africa"
"Mali","mali","40.1","2001","62","Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","40.1","2013 est.","63","Australia and Oceania"
"Sri Lanka","sri-lanka","39.8","2016 est.","64","South Asia"
"Uruguay","uruguay","39.7","2018 est.","65","South America"
"Morocco","morocco","39.5","2013 est.","66","Africa"
"Tuvalu","tuvalu","39.1","2010 est.","67","Australia and Oceania"
"Montenegro","montenegro","39.0","2015 est.","68","Europe"
"Venezuela","venezuela","39.0","2011","69","South America"
"Samoa","samoa","38.7","2013 est.","70","Australia and Oceania"
"Burundi","burundi","38.6","2013 est.","71","Africa"
"El Salvador","el-salvador","38.6","2018 est.","72","Central America and the Caribbean"
"China","china","38.5","2016 est.","73","East and Southeast Asia"
"Gabon","gabon","38.0","2017 est.","74","Africa"
"Cambodia","cambodia","37.9","2008 est.","75","East and Southeast Asia"
"Indonesia","indonesia","37.8","2018 est.","76","East and Southeast Asia"
"Tonga","tonga","37.6","2015 est.","77","Australia and Oceania"
"Vanuatu","vanuatu","37.6","2010 est.","78","Australia and Oceania"
"Russia","russia","37.5","2018 est.","79","Central Asia"
"Bhutan","bhutan","37.4","2017 est.","80","South Asia"
"Lithuania","lithuania","37.3","2017 est.","81","Europe"
"Solomon Islands","solomon-islands","37.1","2013 est.","82","Australia and Oceania"
"Israel","israel","37.0","2018 est.","83","Middle East"
"Mauritius","mauritius","36.8","2017 est.","84","Africa"
"Mexico","mexico","36.8","2018 est.","85","North America"
"Uzbekistan","uzbekistan","36.8","2003","86","Central Asia"
"Fiji","fiji","36.7","2013 est.","87","Australia and Oceania"
"Yemen","yemen","36.7","2014 est.","88","Middle East"
"Georgia","georgia","36.4","2018 est.","89","Middle East"
"Laos","laos","36.4","2012 est.","90","East and Southeast Asia"
"Thailand","thailand","36.4","2018 est.","91","East and Southeast Asia"
"New Zealand","new-zealand","36.2","1997","92","Australia and Oceania"
"Serbia","serbia","36.2","2017 est.","93","Europe"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","36.0","2015","94","South America"
"Romania","romania","36.0","2017 est.","95","Europe"
"Gambia, The","gambia-the","35.9","2015 est.","96","Africa"
"Italy","italy","35.9","2017 est.","97","Europe"
"India","india","35.7","2011 est.","98","South Asia"
"Sierra Leone","sierra-leone","35.7","2018 est.","99","Africa"
"Vietnam","vietnam","35.7","2018 est.","100","East and Southeast Asia"
"Latvia","latvia","35.6","2017 est.","101","Europe"
"Korea, South","korea-south","35.4","2015 est.","102","East and Southeast Asia"
"Burkina Faso","burkina-faso","35.3","2014 est.","103","Africa"
"Liberia","liberia","35.3","2016 est.","104","Africa"
"Nigeria","nigeria","35.1","2018 est.","105","Africa"
"Ethiopia","ethiopia","35.0","2015 est.","106","Africa"
"Jamaica","jamaica","35.0","2016","107","Central America and the Caribbean"
"Macau","macau","35.0","2013","108","East and Southeast Asia"
"Luxembourg","luxembourg","34.9","2017 est.","109","Europe"
"United Kingdom","united-kingdom","34.8","2016 est.","110","Europe"
"Spain","spain","34.7","2017 est.","111","Europe"
"Armenia","armenia","34.4","2018 est.","112","Middle East"
"Australia","australia","34.4","2014 est.","113","Australia and Oceania"
"Greece","greece","34.4","2017 est.","114","Europe"
"Niger","niger","34.3","2014 est.","115","Africa"
"North Macedonia","north-macedonia","34.2","2017 est.","116","Europe"
"Sudan","sudan","34.2","2014 est.","117","Africa"
"Tajikistan","tajikistan","34.0","2015 est.","118","Central Asia"
"Greenland","greenland","33.9","2015 est.","119","North America"
"Portugal","portugal","33.8","2017 est.","120","Europe"
"Azerbaijan","azerbaijan","33.7","2008","121","Middle East"
"Gaza Strip","gaza-strip","33.7","2016 est.","122","Middle East"
"Guinea","guinea","33.7","2012 est.","123","Africa"
"Jordan","jordan","33.7","2010 est.","124","Middle East"
"West Bank","west-bank","33.7","2016 est.","125","Middle East"
"Taiwan","taiwan","33.6","2014","126","East and Southeast Asia"
"Pakistan","pakistan","33.5","2015 est.","127","South Asia"
"Canada","canada","33.3","2017 est.","128","North America"
"Albania","albania","33.2","2017 est.","129","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","33.0","2011 est.","130","Europe"
"Japan","japan","32.9","2013 est.","131","East and Southeast Asia"
"Ireland","ireland","32.8","2016 est.","132","Europe"
"Nepal","nepal","32.8","2010 est.","133","South Asia"
